Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C3_Conversacao,1024,1024,06_Attn_FFN,9,235.44,108.18,4.93
C3_Conversacao,1024,1024,07_Tudo,9,14.75,N/A,N/A
C3_Conversacao,1024,1024,00_Baseline,10,98.13,114.04,14.00
C3_Conversacao,1024,1024,01_KV,10,13.49,N/A,N/A
C3_Conversacao,1024,1024,02_Attn,10,16.67,N/A,N/A
C3_Conversacao,1024,1024,03_FFN,10,191.44,108.14,6.29
C3_Conversacao,1024,1024,04_KV_Attn,10,15.26,N/A,N/A
C3_Conversacao,1024,1024,05_KV_FFN,10,14.50,N/A,N/A
C3_Conversacao,1024,1024,06_Attn_FFN,10,235.16,104.49,5.00
C3_Conversacao,1024,1024,07_Tudo,10,15.00,N/A,N/A
C4_Estresse,3500,500,00_Baseline,1,123.91,60.22,10.07
C4_Estresse,3500,500,01_KV,1,392.32,13.37,4.42
C4_Estresse,3500,500,02_Attn,1,137.78,63.39,7.47
C4_Estresse,3500,500,03_FFN,1,168.59,61.68,5.28
C4_Estresse,3500,500,04_KV_Attn,1,377.50,15.72,3.66
C4_Estresse,3500,500,05_KV_FFN,1,443.73,13.55,3.03
C4_Estresse,3500,500,06_Attn_FFN,1,189.05,61.78,4.34
C4_Estresse,3500,500,07_Tudo,1,445.17,14.02,2.84
C4_Estresse,3500,500,00_Baseline,2,122.38,59.04,10.29
C4_Estresse,3500,500,01_KV,2,395.67,12.99,4.61
C4_Estresse,3500,500,02_Attn,2,139.56,66.99,7.13
C4_Estresse,3500,500,03_FFN,2,170.24,61.03,5.28
C4_Estresse,3500,500,04_KV_Attn,2,405.95,13.63,3.81
C4_Estresse,3500,500,05_KV_FFN,2,453.88,13.15,2.95
C4_Estresse,3500,500,06_Attn_FFN,2,192.35,61.94,4.31
C4_Estresse,3500,500,07_Tudo,2,467.62,13.15,2.76
C4_Estresse,3500,500,00_Baseline,3,120.83,61.18,10.19
C4_Estresse,3500,500,01_KV,3,386.00,13.22,4.79
C4_Estresse,3500,500,02_Attn,3,137.49,65.61,7.29
C4_Estresse,3500,500,03_FFN,3,169.27,61.44,5.20
C4_Estresse,3500,500,04_KV_Attn,3,412.65,13.71,3.58
C4_Estresse,3500,500,05_KV_FFN,3,439.86,13.63,3.04
C4_Estresse,3500,500,06_Attn_FFN,3,190.07,62.03,4.33
C4_Estresse,3500,500,07_Tudo,3,477.48,13.94,2.50
C4_Estresse,3500,500,00_Baseline,4,123.52,61.14,9.89
C4_Estresse,3500,500,01_KV,4,412.78,12.67,4.28
C4_Estresse,3500,500,02_Attn,4,141.65,63.81,7.22
C4_Estresse,3500,500,03_FFN,4,170.74,60.49,5.21
C4_Estresse,3500,500,04_KV_Attn,4,358.50,16.10,4.18
C4_Estresse,3500,500,05_KV_FFN,4,440.76,13.49,3.08
C4_Estresse,3500,500,06_Attn_FFN,4,193.28,58.50,4.37
C4_Estresse,3500,500,07_Tudo,4,438.34,15.52,2.72
C4_Estresse,3500,500,00_Baseline,5,122.92,60.76,10.02
C4_Estresse,3500,500,01_KV,5,404.31,13.15,4.24
C4_Estresse,3500,500,02_Attn,5,138.88,66.47,7.13
C4_Estresse,3500,500,03_FFN,5,168.02,61.82,5.31
C4_Estresse,3500,500,04_KV_Attn,5,354.24,16.64,4.26
C4_Estresse,3500,500,05_KV_FFN,5,424.14,14.27,3.20
