Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C4_Estresse,3500,500,01_KV,4,436.37,11.59,4.26
C4_Estresse,3500,500,02_Attn,4,201.31,33.57,6.21
C4_Estresse,3500,500,03_FFN,4,229.13,32.51,4.83
C4_Estresse,3500,500,04_KV_Attn,4,444.28,12.02,3.71
C4_Estresse,3500,500,05_KV_FFN,4,471.91,11.85,3.17
C4_Estresse,3500,500,06_Attn_FFN,4,248.75,32.88,4.05
C4_Estresse,3500,500,07_Tudo,4,497.09,11.80,2.79
C4_Estresse,3500,500,00_Baseline,5,192.99,30.92,7.87
C4_Estresse,3500,500,01_KV,5,441.20,11.46,4.26
C4_Estresse,3500,500,02_Attn,5,202.24,33.53,6.21
C4_Estresse,3500,500,03_FFN,5,228.85,32.60,4.83
C4_Estresse,3500,500,04_KV_Attn,5,448.43,11.86,3.71
C4_Estresse,3500,500,05_KV_FFN,5,476.68,11.71,3.17
C4_Estresse,3500,500,06_Attn_FFN,5,247.15,32.87,4.06
C4_Estresse,3500,500,07_Tudo,5,495.04,11.89,2.79
C4_Estresse,3500,500,00_Baseline,6,192.88,30.95,7.86
C4_Estresse,3500,500,01_KV,6,435.86,11.61,4.26
C4_Estresse,3500,500,02_Attn,6,201.93,33.54,6.22
C4_Estresse,3500,500,03_FFN,6,227.63,32.57,4.83
C4_Estresse,3500,500,04_KV_Attn,6,444.72,12.04,3.72
C4_Estresse,3500,500,05_KV_FFN,6,463.19,12.11,3.27
C4_Estresse,3500,500,06_Attn_FFN,6,246.99,32.88,4.06
C4_Estresse,3500,500,07_Tudo,6,487.86,12.06,2.82
C4_Estresse,3500,500,00_Baseline,7,192.75,30.95,7.88
C4_Estresse,3500,500,01_KV,7,430.42,11.85,4.30
C4_Estresse,3500,500,02_Attn,7,201.79,33.55,6.20
C4_Estresse,3500,500,03_FFN,7,228.72,32.57,4.84
C4_Estresse,3500,500,04_KV_Attn,7,19.05,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,7,15.01,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,7,249.79,32.78,4.03
